#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
             610        1.158437        1.285526      0.01233909
             611        1.157334        1.285316      0.01232068
             612         1.15622        1.285105      0.01230235
             613        1.155093        1.284893      0.01228411
             614        1.153955         1.28468      0.01226595
             615        1.152807        1.284465      0.01224788
             616         1.15165         1.28425       0.0122299
             617        1.150484        1.284033        0.012212
             618         1.14931        1.283815      0.01219418
             619         1.14813        1.283596      0.01217645
             620        1.146943        1.283375      0.01215881
             621        1.145752        1.283154      0.01214125
             622        1.144555        1.282931      0.01212377
             623        1.143355        1.282707      0.01210638
             624        1.142152        1.282482      0.01208908
             625        1.140946        1.282255      0.01207186
             626        1.139738        1.282027      0.01205472
             627        1.138529        1.281799      0.01203766
             628        1.137318        1.281569      0.01202069
             629        1.136107        1.281337      0.01200381
             630        1.134895        1.281105        0.011987
             631        1.133683        1.280871      0.01197028
             632        1.132471        1.280636      0.01195365
             633        1.131259          1.2804      0.01193709
             634        1.130048        1.280163      0.01192062
             635        1.128837        1.279925      0.01190423
             636        1.127626        1.279685      0.01188792
             637        1.126415        1.279445      0.01187169
             638        1.125205        1.279203      0.01185554
             639        1.123994         1.27896      0.01183948
             640        1.122784        1.278716      0.01182349
             641        1.121574        1.278471      0.01180759
             642        1.120362        1.278225      0.01179177
             643         1.11915        1.277977      0.01177602
             644        1.117936        1.277729      0.01176036
             645         1.11672        1.277479      0.01174478
             646        1.115503        1.277228      0.01172927
             647        1.114284        1.276977      0.01171385
             648        1.113062        1.276724       0.0116985
             649        1.111838         1.27647      0.01168323
             650         1.11061        1.276214      0.01166804
             651         1.10938        1.275958      0.01165294
             652        1.108147        1.275701       0.0116379
             653        1.106911        1.275442      0.01162295
             654        1.105671        1.275183      0.01160808
             655        1.104428        1.274922      0.01159328
             656        1.103182         1.27466      0.01157857
             657        1.101933        1.274397      0.01156393
             658         1.10068        1.274133      0.01154937
             659        1.099425        1.273868      0.01153488
             660        1.098168        1.273602      0.01152048
             661        1.096909        1.273335      0.01150615
             662        1.095648        1.273066       0.0114919
             663        1.094387        1.272797      0.01147773
             664        1.093126        1.272526      0.01146363
             665        1.091865        1.272255      0.01144961
             666        1.090606        1.271982      0.01143567
             667         1.08935        1.271708       0.0114218
             668        1.088097        1.271433      0.01140801
             669         1.08685        1.271157      0.01139429
             670         1.08561         1.27088      0.01138065
             671        1.084378        1.270602      0.01136708
             672        1.083155        1.270323      0.01135359
             673        1.081943        1.270043      0.01134017
             674        1.080745        1.269763      0.01132682
             675         1.07956        1.269481      0.01131354
             676        1.078392        1.269198      0.01130034
             677        1.077241        1.268915       0.0112872
             678         1.07611         1.26863      0.01127414
             679        1.074999        1.268345      0.01126114
             680        1.073912        1.268059      0.01124821
             681        1.072849        1.267772      0.01123534
             682        1.071813        1.267485      0.01122254
             683        1.070806        1.267197      0.01120981
             684        1.069829        1.266909      0.01119713
             685        1.068883         1.26662      0.01118452
             686        1.067972         1.26633      0.01117196
             687        1.067095         1.26604      0.01115946
             688        1.066256         1.26575      0.01114702
             689        1.065456        1.265459      0.01113463
             690        1.064696        1.265168      0.01112229
             691        1.063977        1.264877      0.01111001
             692        1.063302        1.264585      0.01109777
             693        1.062671        1.264294      0.01108558
