#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
             586        1.046543         1.04202    7.858299e-05
             587         1.04657        1.042028    7.883054e-05
             588        1.046597        1.042035    7.907861e-05
             589        1.046624        1.042043    7.932721e-05
             590        1.046651        1.042051    7.957632e-05
             591        1.046678        1.042059    7.982596e-05
             592        1.046706        1.042067    8.007612e-05
             593        1.046733        1.042074    8.032681e-05
             594         1.04676        1.042082    8.057802e-05
             595        1.046788         1.04209    8.082977e-05
             596        1.046815        1.042098    8.108204e-05
             597        1.046843        1.042106    8.133484e-05
             598        1.046871        1.042114    8.158817e-05
             599        1.046899        1.042122    8.184204e-05
             600        1.046927         1.04213    8.209644e-05
             601        1.046955        1.042138    8.235138e-05
             602        1.046983        1.042146    8.260686e-05
             603        1.047011        1.042154    8.286287e-05
             604        1.047039        1.042162    8.311942e-05
             605        1.047067         1.04217    8.337652e-05
             606        1.047096        1.042179    8.363416e-05
             607        1.047124        1.042187    8.389234e-05
             608        1.047153        1.042195    8.415106e-05
             609        1.047182        1.042203    8.441034e-05
             610         1.04721        1.042211    8.467016e-05
             611        1.047239        1.042219    8.493053e-05
             612        1.047268        1.042228    8.519145e-05
             613        1.047297        1.042236    8.545293e-05
             614        1.047326        1.042244    8.571496e-05
             615        1.047355        1.042253    8.597754e-05
             616        1.047385        1.042261    8.624068e-05
             617        1.047414        1.042269    8.650438e-05
             618        1.047444        1.042278    8.676864e-05
             619        1.047473        1.042286    8.703345e-05
             620        1.047503        1.042294    8.729883e-05
             621        1.047532        1.042303    8.756478e-05
             622        1.047562        1.042311    8.783129e-05
             623        1.047592         1.04232    8.809836e-05
             624        1.047622        1.042328      8.8366e-05
             625        1.047652        1.042337    8.863421e-05
             626        1.047682        1.042345      8.8903e-05
             627        1.047712        1.042354    8.917235e-05
             628        1.047743        1.042363    8.944228e-05
             629        1.047773        1.042371    8.971278e-05
             630        1.047804         1.04238    8.998386e-05
             631        1.047834        1.042388    9.025551e-05
             632        1.047865        1.042397    9.052775e-05
             633        1.047896        1.042406    9.080056e-05
             634        1.047927        1.042414    9.107396e-05
             635        1.047958        1.042423    9.134794e-05
             636        1.047989        1.042432     9.16225e-05
             637         1.04802        1.042441    9.189765e-05
             638        1.048051        1.042449    9.217339e-05
             639        1.048082        1.042458    9.244971e-05
             640        1.048114        1.042467    9.272663e-05
             641        1.048145        1.042476    9.300413e-05
             642        1.048177        1.042485    9.328223e-05
             643        1.048209        1.042494    9.356092e-05
             644         1.04824        1.042503    9.384021e-05
             645        1.048272        1.042512     9.41201e-05
             646        1.048304        1.042521    9.440058e-05
             647        1.048336         1.04253    9.468167e-05
             648        1.048369        1.042539    9.496335e-05
             649        1.048401        1.042548    9.524564e-05
             650        1.048433        1.042557    9.552853e-05
             651        1.048466        1.042566    9.581203e-05
             652        1.048498        1.042575    9.609613e-05
             653        1.048531        1.042584    9.638085e-05
             654        1.048564        1.042593    9.666617e-05
             655        1.048596        1.042602     9.69521e-05
             656        1.048629        1.042612    9.723865e-05
             657        1.048662        1.042621    9.752581e-05
             658        1.048695         1.04263    9.781359e-05
             659        1.048729        1.042639    9.810198e-05
             660        1.048762        1.042648    9.839099e-05
