#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
             439         1.56505         1.56161     7.08796e-05
             440         1.56507         1.56162     7.11535e-05
             441          1.5651         1.56163     7.14279e-05
             442         1.56512         1.56163     7.17029e-05
             443         1.56515         1.56164     7.19784e-05
             444         1.56517         1.56165     7.22546e-05
             445          1.5652         1.56166     7.25313e-05
             446         1.56523         1.56167     7.28085e-05
             447         1.56525         1.56167     7.30864e-05
             448         1.56528         1.56168     7.33648e-05
             449         1.56531         1.56169     7.36438e-05
             450         1.56533          1.5617     7.39234e-05
             451         1.56536         1.56171     7.42035e-05
             452         1.56538         1.56171     7.44842e-05
             453         1.56541         1.56172     7.47655e-05
             454         1.56544         1.56173     7.50474e-05
             455         1.56547         1.56174     7.53299e-05
             456         1.56549         1.56175     7.56129e-05
             457         1.56552         1.56176     7.58966e-05
             458         1.56555         1.56176     7.61808e-05
             459         1.56557         1.56177     7.64656e-05
             460          1.5656         1.56178      7.6751e-05
             461         1.56563         1.56179      7.7037e-05
             462         1.56566          1.5618     7.73236e-05
             463         1.56568         1.56181     7.76108e-05
             464         1.56571         1.56181     7.78986e-05
             465         1.56574         1.56182     7.81869e-05
             466         1.56577         1.56183     7.84759e-05
             467         1.56579         1.56184     7.87655e-05
             468         1.56582         1.56185     7.90557e-05
             469         1.56585         1.56186     7.93464e-05
             470         1.56588         1.56187     7.96378e-05
             471         1.56591         1.56187     7.99298e-05
             472         1.56594         1.56188     8.02224e-05
             473         1.56596         1.56189     8.05156e-05
             474         1.56599          1.5619     8.08094e-05
             475         1.56602         1.56191     8.11038e-05
             476         1.56605         1.56192     8.13988e-05
             477         1.56608         1.56193     8.16945e-05
             478         1.56611         1.56193     8.19907e-05
             479         1.56614         1.56194     8.22876e-05
             480         1.56617         1.56195     8.25851e-05
             481         1.56619         1.56196     8.28831e-05
             482         1.56622         1.56197     8.31818e-05
             483         1.56625         1.56198     8.34812e-05
             484         1.56628         1.56199     8.37811e-05
             485         1.56631           1.562     8.40817e-05
             486         1.56634         1.56201     8.43828e-05
             487         1.56637         1.56201     8.46846e-05
             488          1.5664         1.56202     8.49871e-05
             489         1.56643         1.56203     8.52901e-05
             490         1.56646         1.56204     8.55938e-05
             491         1.56649         1.56205     8.58981e-05
             492         1.56652         1.56206      8.6203e-05
             493         1.56655         1.56207     8.65086e-05
             494         1.56658         1.56208     8.68148e-05
