#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
             481       -3.353882       -3.350801    0.0003800607
             482       -3.354295       -3.350808    0.0003793413
             483       -3.354401       -3.350815    0.0003786289
             484       -3.354353       -3.350823    0.0003779171
             485       -3.354603        -3.35083    0.0003772183
             486       -3.355002       -3.350839    0.0003765398
             487       -3.355096       -3.350848    0.0003758681
             488       -3.355037       -3.350856    0.0003751959
             489       -3.354824       -3.350864    0.0003745163
             490       -3.354911       -3.350873    0.0003738431
             491       -3.355148       -3.350881    0.0003731831
             492       -3.354931        -3.35089    0.0003725153
             493       -3.354712       -3.350897    0.0003718404
             494       -3.354795       -3.350905    0.0003711713
             495       -3.354574       -3.350913    0.0003704955
             496       -3.354354        -3.35092    0.0003698135
             497       -3.354284       -3.350926    0.0003691313
             498       -3.354062       -3.350933    0.0003684438
             499       -3.353841       -3.350939    0.0003677515
             500       -3.353621       -3.350944    0.0003670552
             501       -3.353703       -3.350949    0.0003663638
             502       -3.353483       -3.350954    0.0003656688
             503       -3.353567        -3.35096    0.0003649787
             504       -3.353651       -3.350965    0.0003642936
             505       -3.353585        -3.35097    0.0003636091
             506       -3.353369       -3.350975    0.0003629215
             507       -3.353609        -3.35098    0.0003622428
             508       -3.353546       -3.350985     0.000361565
             509       -3.353485        -3.35099     0.000360888
             510       -3.353576       -3.350995     0.000360216
             511       -3.353669          -3.351    0.0003595491
             512       -3.353613       -3.351006     0.000358883
             513       -3.353559        -3.35101     0.000358218
             514       -3.353506       -3.351015     0.000357554
             515       -3.353607        -3.35102    0.0003568951
             516       -3.353708       -3.351026    0.0003562414
             517        -3.35366       -3.351031    0.0003555888
             518       -3.353463       -3.351035    0.0003549334
             519        -3.35357        -3.35104    0.0003542831
             520       -3.353376       -3.351045    0.0003536302
             521       -3.353184       -3.351049    0.0003529753
             522       -3.352691       -3.351052    0.0003523131
             523       -3.352654       -3.351055    0.0003516528
             524       -3.352769       -3.351058    0.0003509969
             525       -3.352734       -3.351062    0.0003503429
             526        -3.35255       -3.351064    0.0003496882
             527       -3.352367       -3.351067    0.0003490334
             528       -3.352337       -3.351069    0.0003483807
             529       -3.352309       -3.351072      0.00034773
             530       -3.351981       -3.351073    0.0003470781
             531       -3.351955       -3.351075    0.0003464285
             532       -3.352081       -3.351077    0.0003457825
             533       -3.351907       -3.351078    0.0003451372
             534       -3.351734        -3.35108    0.0003444931
             535       -3.351713       -3.351081    0.0003438512
             536       -3.351844       -3.351082    0.0003432126
             537       -3.351825       -3.351084    0.0003425763
             538       -3.351959       -3.351085    0.0003419434
             539       -3.351791       -3.351087    0.0003413115
             540       -3.351624       -3.351088    0.0003406809
             541       -3.351609       -3.351089    0.0003400525
             542       -3.351594       -3.351089    0.0003394264
             543        -3.35158        -3.35109    0.0003388025
             544       -3.351566       -3.351091    0.0003381808
             545       -3.351402       -3.351092    0.0003375608
             546        -3.35139       -3.351092     0.000336943
             547        -3.35153       -3.351093     0.000336328
             548        -3.35152       -3.351094    0.0003357151
             549       -3.351056       -3.351094    0.0003351036
             550       -3.350592       -3.351093    0.0003344956
             551       -3.350431       -3.351092    0.0003338907
             552       -3.350723       -3.351091    0.0003332865
             553       -3.350561        -3.35109    0.0003326852
             554       -3.350702       -3.351089    0.0003320854
             555       -3.350692       -3.351089    0.0003314878
             556       -3.350984       -3.351088    0.0003308917
             557       -3.350671       -3.351088    0.0003302984
             558        -3.35066       -3.351087    0.0003297074
             559       -3.350951       -3.351087    0.0003291177
             560       -3.351243       -3.351087    0.0003285301
             561       -3.351382       -3.351088    0.0003279449
             562       -3.351521       -3.351088    0.0003273623
             563       -3.351357       -3.351089    0.0003267812
             564       -3.351496        -3.35109    0.0003262026
             565       -3.351181        -3.35109    0.0003256252
             566       -3.350866       -3.351089    0.0003250502
             567       -3.350851       -3.351089    0.0003244772
             568       -3.350685       -3.351088    0.0003239067
             569        -3.35067       -3.351087    0.0003233383
             570       -3.350804       -3.351087    0.0003227714
             571       -3.350788       -3.351086    0.0003222065
             572        -3.35062       -3.351086    0.0003216443
             573       -3.350602       -3.351085     0.000321084
             574       -3.350432       -3.351084    0.0003205267
             575       -3.350563       -3.351083    0.0003199705
             576       -3.350542       -3.351082    0.0003194164
             577       -3.350369       -3.351081    0.0003188652
             578       -3.350197       -3.351079    0.0003183172
             579       -3.350174       -3.351077    0.0003177713
             580       -3.349999       -3.351076    0.0003172288
             581       -3.349824       -3.351073    0.0003166901
             582        -3.34995       -3.351071    0.0003161519
             583       -3.350077        -3.35107    0.0003156142
             584       -3.350051       -3.351068    0.0003150786
             585       -3.350176       -3.351067    0.0003145437
             586       -3.349997       -3.351065    0.0003140122
             587       -3.349818       -3.351063    0.0003134844
             588       -3.349941       -3.351061    0.0003129571
             589       -3.349912       -3.351059    0.0003124318
             590       -3.349732       -3.351056    0.0003119104
             591       -3.349703       -3.351054     0.000311391
             592        -3.34922       -3.351051    0.0003108804
             593       -3.349342       -3.351048    0.0003103695
             594       -3.349161       -3.351045    0.0003098633
             595       -3.349282       -3.351042    0.0003093567
             596       -3.349102       -3.351039    0.0003088548
             597       -3.348921       -3.351035    0.0003083578
             598       -3.348892       -3.351032     0.000307863
             599       -3.349014       -3.351028    0.0003073675
             600       -3.348834       -3.351025    0.0003068769
             601        -3.34941       -3.351022    0.0003063781
             602        -3.34893       -3.351018    0.0003058889
             603       -3.348903       -3.351015    0.0003054017
             604       -3.348574       -3.351011    0.0003049228
             605       -3.348549       -3.351007    0.0003044459
             606       -3.348375       -3.351003    0.0003039745
             607       -3.348653       -3.350999    0.0003034984
