#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
             542       -5.449127       -5.450858    0.0006538502
             543       -5.449801       -5.450856    0.0006526489
             544        -5.45015       -5.450855    0.0006514505
             545         -5.4492       -5.450852    0.0006502623
             546       -5.448897       -5.450848    0.0006490812
             547       -5.449561       -5.450846    0.0006478988
             548       -5.449574       -5.450844    0.0006467207
             549       -5.449586       -5.450841    0.0006455467
             550       -5.449594       -5.450839     0.000644377
             551       -5.449599       -5.450837    0.0006432115
             552       -5.449926       -5.450835    0.0006420483
             553        -5.45025       -5.450834    0.0006408882
             554       -5.450571       -5.450834    0.0006397315
             555       -5.450565       -5.450833     0.000638579
             556       -5.450234       -5.450832    0.0006374314
             557       -5.451195       -5.450833    0.0006362874
             558       -5.451829       -5.450834    0.0006351496
             559       -5.451166       -5.450835    0.0006340136
             560       -5.451147       -5.450836    0.0006328817
             561       -5.450478       -5.450835    0.0006317539
             562       -5.451103       -5.450835    0.0006306299
             563       -5.451077       -5.450836      0.00062951
             564       -5.450724       -5.450836    0.0006283938
             565       -5.451017       -5.450836    0.0006272817
             566       -5.451308       -5.450837     0.000626174
             567       -5.451599       -5.450838    0.0006250711
             568        -5.45124       -5.450839     0.000623971
             569       -5.451202        -5.45084    0.0006228747
             570       -5.451161        -5.45084    0.0006217822
             571       -5.450797        -5.45084    0.0006206933
             572       -5.450107       -5.450839    0.0006196095
             573       -5.449741       -5.450837    0.0006185311
             574       -5.449697       -5.450835    0.0006174567
             575       -5.449328       -5.450832    0.0006163884
             576       -5.448958       -5.450829    0.0006153269
             577       -5.448588       -5.450825    0.0006142727
             578       -5.449189       -5.450822    0.0006132165
             579       -5.449141       -5.450819    0.0006121643
             580       -5.449417       -5.450817    0.0006111136
             581       -5.449045       -5.450814    0.0006100694
             582       -5.448997       -5.450811    0.0006090291
             583       -5.449921       -5.450809    0.0006079864
             584       -5.450523       -5.450809    0.0006069455
             585       -5.450477       -5.450808    0.0006059083
             586       -5.450108       -5.450807    0.0006048755
             587       -5.450063       -5.450806    0.0006038463
             588       -5.449694       -5.450804    0.0006028224
             589        -5.44965       -5.450802    0.0006018021
             590       -5.449607         -5.4508    0.0006007855
             591       -5.448917       -5.450797    0.0005997774
             592       -5.448229       -5.450792    0.0005987799
             593       -5.448514       -5.450788    0.0005977825
             594       -5.448476       -5.450785    0.0005967888
             595       -5.447793        -5.45078     0.000595807
             596       -5.447758       -5.450774    0.0005948289
             597       -5.447401       -5.450769    0.0005938593
             598       -5.447693       -5.450764    0.0005928885
             599       -5.448636        -5.45076    0.0005919094
             600       -5.448608       -5.450757    0.0005909337
             601       -5.448906       -5.450753    0.0005899585
             602       -5.448234       -5.450749    0.0005889933
             603       -5.447564       -5.450744    0.0005880403
             604       -5.446895       -5.450738    0.0005871012
             605       -5.446228        -5.45073    0.0005861781
             606        -5.44686       -5.450724    0.0005852456
             607       -5.447168       -5.450718    0.0005843108
             608       -5.447801       -5.450713    0.0005833694
             609       -5.447464       -5.450708    0.0005824359
             610       -5.447776       -5.450703    0.0005815009
             611       -5.447765       -5.450698    0.0005805691
             612       -5.447756       -5.450693    0.0005796403
             613       -5.447102       -5.450688    0.0005787244
             614        -5.44742       -5.450682    0.0005778063
             615       -5.447417       -5.450677    0.0005768912
             616       -5.448062       -5.450673    0.0005759703
             617       -5.447414       -5.450667     0.000575061
             618       -5.447738       -5.450663      0.00057415
             619       -5.447738       -5.450658    0.0005732419
             620       -5.447416       -5.450653    0.0005723411
             621       -5.447744       -5.450648    0.0005714387
             622       -5.447424       -5.450643    0.0005705435
             623       -5.447753       -5.450638    0.0005696465
             624       -5.448083       -5.450634    0.0005687483
             625       -5.447768       -5.450629    0.0005678568
             626       -5.448424       -5.450626    0.0005669606
             627       -5.448757       -5.450623    0.0005660642
             628        -5.44812       -5.450619    0.0005651769
             629       -5.448132       -5.450615    0.0005642922
             630       -5.448144       -5.450611    0.0005634101
             631        -5.44848       -5.450608    0.0005625273
             632       -5.448494       -5.450604    0.0005616472
             633       -5.448508       -5.450601    0.0005607697
             634       -5.449496       -5.450599    0.0005598879
             635       -5.449836       -5.450598    0.0005590075
             636       -5.449528       -5.450596    0.0005581311
             637       -5.449221       -5.450594    0.0005572591
             638       -5.449237       -5.450592    0.0005563897
             639       -5.449254        -5.45059    0.0005555229
             640       -5.449271       -5.450588    0.0005546587
             641       -5.448965       -5.450585    0.0005537992
             642        -5.44866       -5.450582    0.0005529447
             643       -5.449001        -5.45058    0.0005520902
             644        -5.44902       -5.450578    0.0005512383
             645       -5.449362       -5.450576    0.0005503868
