#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
             523       0.9671271         1.03928      0.01031484
             524       0.9671915        1.039143      0.01029607
             525       0.9672401        1.039006      0.01027737
             526       0.9672735        1.038869      0.01025873
             527       0.9672905        1.038733      0.01024017
             528       0.9672895        1.038598      0.01022167
             529       0.9672736        1.038463      0.01020323
             530       0.9672482        1.038329      0.01018487
             531       0.9672051        1.038195      0.01016657
             532       0.9671469        1.038061      0.01014833
             533        0.967081        1.037928      0.01013017
             534       0.9670036        1.037795      0.01011207
             535       0.9669129        1.037663      0.01009403
             536       0.9668095        1.037531      0.01007607
             537       0.9666984        1.037399      0.01005817
             538       0.9665757        1.037267      0.01004033
             539       0.9664489        1.037136      0.01002257
             540       0.9663139        1.037005      0.01000486
             541       0.9661686        1.036874     0.009987227
             542       0.9660161        1.036743     0.009969656
             543       0.9658563        1.036613      0.00995215
             544       0.9656894        1.036482      0.00993471
             545        0.965518        1.036352     0.009917334
             546       0.9653378        1.036222     0.009900023
             547       0.9651495        1.036092     0.009882777
             548       0.9649579        1.035962     0.009865595
             549       0.9647677        1.035832     0.009848478
             550       0.9645724        1.035703     0.009831423
             551       0.9643675        1.035573     0.009814433
             552       0.9641507        1.035444     0.009797506
             553       0.9639355        1.035315     0.009780642
             554       0.9637107        1.035185     0.009763842
             555       0.9634831        1.035056     0.009747104
             556       0.9632461        1.034927     0.009730429
             557       0.9630129        1.034798     0.009713816
             558         0.96277        1.034669     0.009697265
             559       0.9625171         1.03454     0.009680777
             560       0.9622588        1.034411      0.00966435
             561       0.9619973        1.034282     0.009647985
             562       0.9617301        1.034153     0.009631681
             563       0.9614614        1.034023     0.009615439
             564       0.9611821        1.033894     0.009599258
             565       0.9609034        1.033765     0.009583137
             566       0.9606183        1.033636     0.009567077
             567       0.9603221        1.033507     0.009551078
             568       0.9600209        1.033377     0.009535139
             569         0.95971        1.033248      0.00951926
             570       0.9593892        1.033118     0.009503441
             571       0.9590626        1.032989     0.009487683
             572       0.9587301        1.032859     0.009471984
             573        0.958387        1.032729     0.009456345
             574        0.958037        1.032599     0.009440766
             575       0.9576732        1.032468     0.009425246
             576       0.9573016        1.032338     0.009409787
             577       0.9569219        1.032207     0.009394386
             578       0.9565316        1.032076     0.009379045
             579       0.9561282        1.031945     0.009363764
             580       0.9557159        1.031814     0.009348542
             581        0.955292        1.031682     0.009333379
             582       0.9548513         1.03155     0.009318276
             583       0.9543984        1.031418     0.009303232
             584       0.9539355        1.031285     0.009288248
             585       0.9534578        1.031152     0.009273323
             586       0.9529713        1.031018     0.009258458
             587       0.9524711        1.030885     0.009243652
             588       0.9519526         1.03075     0.009228907
             589       0.9514222        1.030616     0.009214221
             590       0.9508795        1.030481     0.009199594
             591       0.9503203        1.030345     0.009185028
             592       0.9497535        1.030209     0.009170521
             593       0.9491631        1.030072     0.009156075
             594       0.9485624        1.029935     0.009141689
             595       0.9479425        1.029797     0.009127364
             596       0.9473123        1.029659     0.009113098
             597       0.9466673         1.02952     0.009098894
             598       0.9460055         1.02938      0.00908475
             599       0.9453268         1.02924     0.009070667
             600       0.9446382        1.029099     0.009056645
             601       0.9439241        1.028957     0.009042685
             602       0.9432118        1.028814     0.009028785
             603       0.9424795        1.028671     0.009014947
             604       0.9417383        1.028527     0.009001171
             605       0.9409796        1.028383     0.008987456
             606       0.9402108        1.028237     0.008973803
             607       0.9394237        1.028091     0.008960212
             608       0.9386295        1.027944     0.008946682
             609       0.9378264        1.027796     0.008933215
             610       0.9370102        1.027647      0.00891981
             611       0.9361866        1.027497     0.008906468
             612       0.9353517        1.027347     0.008893187
             613       0.9345079        1.027195     0.008879969
             614       0.9336579        1.027043     0.008866813
             615       0.9327982         1.02689      0.00885372
             616       0.9319317        1.026735     0.008840689
             617       0.9310608         1.02658      0.00882772
             618       0.9301865        1.026424     0.008814813
             619       0.9293072        1.026268     0.008801969
             620       0.9284212         1.02611     0.008789187
             621       0.9275312        1.025951     0.008776467
             622       0.9266356        1.025791      0.00876381
             623        0.925735        1.025631     0.008751214
             624       0.9248346        1.025469      0.00873868
             625       0.9239325        1.025307     0.008726208
             626       0.9230288        1.025143     0.008713798
             627       0.9221262        1.024979     0.008701449
             628       0.9212227        1.024814     0.008689162
             629       0.9203119        1.024648     0.008676936
             630       0.9194054        1.024481     0.008664771
             631        0.918499        1.024313     0.008652667
             632       0.9175928        1.024144     0.008640623
             633       0.9166845        1.023974     0.008628641
             634        0.915781        1.023803     0.008616718
             635       0.9148777        1.023632     0.008604856
             636       0.9139703        1.023459     0.008593053
             637       0.9130653        1.023286     0.008581311
             638       0.9121562        1.023112     0.008569628
             639       0.9112518        1.022937     0.008558005
             640       0.9103497        1.022761     0.008546441
             641       0.9094451        1.022584     0.008534936
             642       0.9085422        1.022407      0.00852349
             643       0.9076407        1.022228     0.008512103
             644       0.9067337        1.022049     0.008500774
             645       0.9058258        1.021869     0.008489504
             646       0.9049168        1.021688     0.008478293
             647       0.9040082        1.021506      0.00846714
             648       0.9030955        1.021323     0.008456045
             649       0.9021809        1.021139     0.008445008
             650       0.9012596        1.020955     0.008434029
             651        0.900343         1.02077     0.008423108
             652       0.8994176        1.020583     0.008412245
             653       0.8985029        1.020397      0.00840144
             654       0.8975724        1.020209     0.008390693
             655       0.8966461         1.02002     0.008380003
             656       0.8957106        1.019831     0.008369371
             657        0.894775         1.01964     0.008358796
             658        0.893837        1.019449     0.008348279
             659       0.8928992        1.019257     0.008337819
             660       0.8919551        1.019064     0.008327417
             661        0.891014         1.01887     0.008317072
             662       0.8900762        1.018676     0.008306783
             663       0.8891309         1.01848     0.008296552
             664       0.8881901        1.018284     0.008286377
             665       0.8872475        1.018087     0.008276259
             666       0.8863059        1.017889     0.008266197
             667       0.8853682        1.017691     0.008256192
             668       0.8844333        1.017491     0.008246242
             669       0.8835045        1.017291     0.008236347
             670       0.8825762         1.01709     0.008226508
             671       0.8816559        1.016888     0.008216724
             672         0.88074        1.016685     0.008206994
             673       0.8798327        1.016482     0.008197318
             674       0.8789349        1.016278     0.008187696
             675       0.8780562        1.016073     0.008178126
             676       0.8771782        1.015868     0.008168609
             677       0.8763156        1.015662     0.008159143
             678       0.8754759        1.015455     0.008149729
             679       0.8746429        1.015247     0.008140364
             680       0.8738291        1.015039     0.008131049
             681       0.8730335        1.014831     0.008121783
             682       0.8722488        1.014622     0.008112564
             683       0.8714897        1.014412     0.008103393
