#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
             539      -0.0405257      -0.0346107     0.000110852
             540      -0.0405608      -0.0346217     0.000111193
             541       -0.040596      -0.0346327     0.000111534
             542      -0.0406336      -0.0346438     0.000111877
             543      -0.0406738      -0.0346549      0.00011222
             544      -0.0407093       -0.034666     0.000112565
             545      -0.0407449      -0.0346772     0.000112909
             546      -0.0407854      -0.0346884     0.000113255
             547      -0.0408212      -0.0346996     0.000113602
             548      -0.0408571      -0.0347108     0.000113949
             549      -0.0408979      -0.0347221     0.000114297
             550      -0.0409341      -0.0347334     0.000114646
             551      -0.0409751      -0.0347447     0.000114996
             552      -0.0410115      -0.0347561     0.000115347
             553       -0.041048      -0.0347674     0.000115698
             554      -0.0410846      -0.0347788      0.00011605
             555      -0.0411236      -0.0347903     0.000116403
             556      -0.0411605      -0.0348017     0.000116756
             557      -0.0411998      -0.0348132      0.00011711
             558      -0.0412392      -0.0348247     0.000117465
             559      -0.0412763      -0.0348363      0.00011782
             560       -0.041316      -0.0348478     0.000118177
             561      -0.0413534      -0.0348594     0.000118534
             562      -0.0413909      -0.0348711     0.000118891
             563      -0.0414308      -0.0348827     0.000119249
